23,27230202109,"SRI GANESH VIDYAMANDIR, DEVNAR",,WARD 184,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,66,43,109,3,4,
24,27230202314,NUTAN VIDYA MANDIR MANKHURD,,WARD 186,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,569,407,976,8,10,
25,27230202319,SIR SAYYAD ENG HGS,,WARD 186,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,218,151,369,1,10,
26,27230202322,SWA.VIR SAVARKAR HINDU VIDY.,,WARD 186,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,926,476,1402,18,21,
27,27230202321,VIVEKANAND ENG. H.S. TROMBAY,,WARD 186,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,156,127,283,0,6,
28,27230202503,"ABHINAV DNYANMANDIR, TROMBE",,WARD 188,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,139,141,280,4,3,
29,27230202502,"EKVEERA VIDYALAYA, TROMBE",,WARD 188,No Response,Pvt. Aided,Urban,Co-Educational,14,13,27,1,1,
30,27230202509,IDEAL HGS. &,JR. COLLEGE,WARD 188,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,373,587,960,7,19,
31,27230202505,ROCK HI MEMORIYAL HGS.MANKHURD,,WARD 188,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,41,29,70,3,4,
32,27230202508,SHREE SAI VIDYAMANDIR,,WARD 188,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,168,161,329,6,0,
"15, February 2013 05:11 PM",,,,,©NUEPA New Delhi,,,,,,Page 1 of 45,,,
Class
rooms
2
15
16
19
1
1
8
14
6
1
6
10
6
15
8
16
5
14
4
3
12
6
6
15
12
18
6
9
3
29
12
15
,,,,S c h o o l,D i r e c t o r y,,,,,,,,
State Name :,MAHARASHTRA,,District Code & Name :,2723,MUMBAI II,,Total Schools in this district :,,1393,Year,:,2011-12,
,School,,,School,School,,Location &,,Enrolment,,,Teachers,
,Code,School Name,Village Name,Category,Management,Type of School,,,,,,,
,,,,,,,,Boys,Girls,Total,Male,Female,Total
,,Block Code & Name:,272302,NORTH,Total Schools in this block :,436,,,,,,,
,,Cluster Code & Name:,2723020006,ABHINAV DNYANMANDIR TROMB,,,,,,,,,
33,27230202501,"STAR ENGLISH SCHOOL, TROMBE",WARD 188,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,220,138,358,4,2,
34,27230202507,"SUBHASHCHANDRA BOS, MANKHURD",WARD 188,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,220,202,422,4,2,
35,27230202504,TROMBE PUBLIC SCHOOL,WARD 188,No Response,Pvt. Aided,Urban,Co-Educational,28,29,57,0,2,
36,27230202506,VIDYAVIKAS MAHARASHTRA NAGAR,WARD 188,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,48,35,83,3,2,
37,27230202607,BHARAT NAGAR URDU HGS. GOVANDI,WARD 189,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,224,229,453,7,5,
38,27230202608,CHILDRENS-ED SOCIETY SEC. VIDY,WARD 189,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,290,148,438,5,11,
39,27230202606,DYANSADHANA VIDYALAYA GOVANDI,WARD 189,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,143,127,270,7,3,
40,27230202604,MAHARASHTRA BAL VIKAS HGS.,WARD 189,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,195,183,378,8,4,
41,27230202603,MOHITE PATIL VIDYALAYAIA,WARD 189,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,536,428,964,16,6,
42,27230202602,"PADUAA HIGH-SCHOOL, MANKHURD",WARD 189,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,444,336,780,5,13,
43,27230203614,ROYAL PUBLIC ACADEMY & JR. COL,WARD 189,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,152,72,224,4,1,
44,27230202609,SADGURU NIGHT HGS N.P.MARATHI,WARD 189,No Response,Pvt. Aided,Urban,Co-Educational,21,13,34,1,1,
45,27230202703,DEVI EKVEERA VIDYALAYA GOVANDI,WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,47,54,101,2,4,
46,27230202702,"KUGUB VIDYAMANDIR, DEVNAR",WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,727,594,1321,12,16,
47,27230202709,SMT. R.S.T. MADYMIK VIDYALAYA,WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,289,230,519,6,13,
48,27230202808,MATOSHREE VIDYAMANDIR,WARD 191,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,203,167,370,4,3,
49,27230203014,SHRI. NARAYAN GURU H.S. ENG.,WARD 193,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,485,261,746,3,11,
50,27230203112,INDRA ENGLISH HIGHSCHOOL,WARD 194,No Response,Pvt. Unaided,Urban,Co-Educational,20,8,28,1,1,
51,27230204313,MAHATMA GANDHI MEMO. H.S. HINDI,WARD 196,No Response,Pvt. Unaided,Urban,Co-Educational,9,1,10,1,1,
52,27230204314,MHATMA GANDHI MEMO. H.S. ENG.,WARD 196,No Response,Pvt. Unaided,Urban,Co-Educational,28,15,43,1,1,
53,27230204319,RUBY ENGLISH HIGHSCHOOL,WARD 196,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,48,25,73,0,6,
54,27230204316,"SHIVAM VIDYAMANDIR, MANKURD",WARD 196,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,204,169,373,4,5,
55,27230204317,"SHIVNERY VIDYALAYA, MANKHURD",WARD 196,No Response,Pvt. Unaided,Urban,Co-Educational,15,10,25,1,1,
56,27230204315,TROMBAY PUBLIC HIGH SCHOOL,WARD 196,No Response,Pvt. Unaided,Urban,Co-Educational,25,20,45,2,0,
,,Cluster Code & Name:,2723020009,AEPHEK ENG. SCHOOL CHEM E,,,,,,,,,
57,27230200503,AFEK ENGLISH SCHOOL,WARD 167,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,591,411,1002,3,18,
58,27230200506,CHEMBUR EDU HGS,WARD 167,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,656,537,1193,16,16,
59,27230200509,GENARAL EDU ACADEMI,WARD 167,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,384,284,668,2,14,
60,27230200511,NEW ERA NIGHT HGS,WARD 167,No Response,Pvt. Aided,Urban,Co-Educational,14,5,19,2,0,
61,27230200505,OLPS HGS CHEMBUR,WARD 167,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Boys only,932,0,932,5,17,
62,27230200508,SARSWATI VIDYALAYA CHEMBUR,WARD 167,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,402,294,696,3,13,
63,27230200903,SENT SABESTIYAN HGS,WARD 171,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,589,330,919,6,17,
64,27230201405,NEW MODEL HIGH-SCHOOL,WARD 176,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,295,158,453,0,11,
"15, February 2013 05:11 PM",,,,©NUEPA New Delhi,,,,,,Page 2 of 45,,,
Class
rooms
9
8
3
6
13
12
10
16
11
18
10
3
4
15
12
9
18
3
3
3
6
12
6
3
16
23
12
1
16
12
24
18
,,,,S c h o o l,D i r e c t o r y,,,,,,,,
State Name :,MAHARASHTRA,,District Code & Name :,2723,MUMBAI II,,Total Schools in this district :,,1393,Year,:,2011-12,
,School,,,School,School,,Location &,,Enrolment,,,Teachers,
,Code,School Name,Village Name,Category,Management,Type of School,,,,,,,
,,,,,,,,Boys,Girls,Total,Male,Female,Total
,,Block Code & Name:,272302,NORTH,Total Schools in this block :,436,,,,,,,
,,Cluster Code & Name:,2723020009,AEPHEK ENG. SCHOOL CHEM E,,,,,,,,,
65,27230201607,BOMBAY ASSEMBLIES OF GOD DAY,WARD 179,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,74,44,118,0,6,
66,27230201612,"CHEMBUR ENGLISH H.S., CHEMBUR",WARD 179,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,119,77,196,2,4,
67,27230201613,"MHATMA EDU. SOC., CHEMBUR MARTHI",WARD 179,No Response,Pvt. Aided,Urban,Co-Educational,29,22,51,1,1,
68,27230201606,SENT GREGORIYAL ENG. HGS.,WARD 179,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,266,271,537,2,15,
69,27230202003,CHEMBUR VIDYANIKETAN,WARD 183,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,679,549,1228,14,17,
70,27230202008,SWAMI MUKTANAND HIGH SCHOL,WARD 183,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,633,628,1261,13,12,
71,27230202103,CHEMBUR KARNATAK HIGH-SCHOOL,WARD 184,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,669,490,1159,8,16,
72,27230202105,MARTHOMA HIGH-SCHOOL,WARD 184,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,318,204,522,1,10,
73,27230202102,PLUS POINT MERIT HIGH-SCHOOL,WARD 184,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,85,88,173,6,1,
74,27230203212,B D SHUKLA HGS,WARD 185,No Response,Pvt. Unaided,Urban,Co-Educational,32,23,55,1,1,
75,27230203213,DR.BHIMRAO AMBEDKAR VIDY. VA.NAKA,WARD 185,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,196,173,369,6,4,
,,Cluster Code & Name:,2723020015,AHILYA VIDYALAYA BHANDUP,,,,,,,,,
76,27230203711,"B.P.E.S. HGS, BHANDUP",WARD 190,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,348,222,570,2,11,
77,27230203706,DR. DATTA SAMANT VIDYALAYA,WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,231,214,445,5,13,
78,27230203707,JIJAMATA VIDYAMANDIR,WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,93,91,184,4,5,
79,27230206118,BTM'S BRIGHT HS&JR. COL. ENG.,WARD 215,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,338,249,587,3,13,
80,27230206231,BHANDUP VIKAS NIGHT HIGHSCHOOL,WARD 216,No Response,Pvt. Aided,Urban,Co-Educational,14,4,18,2,0,
81,27230206312,JAGRUTI VIDYALAYA BHANDUP W,WARD 217,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,49,49,98,4,2,
82,27230206310,NAVJIVAN VIDYAMANDIR BHANDUP,WARD 217,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,488,412,900,13,17,
83,27230206316,"PRAGATI VIDYAMANDIR, BHANDUP",WARD 217,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,114,119,233,2,9,
84,27230206309,SAHYADRI VIDYAMANDIR BHANDUP,WARD 217,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,448,451,899,8,10,
85,27230206940,R.R.EDUCATION TRUST ENG HS,WARD 223,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,79,48,127,0,6,
86,27230207011,"JNANA SARITA SCH.& JR.COL,MULUND",WARD 224,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,75,56,131,2,5,
,,Cluster Code & Name:,2723020004,ANJUMAN ISLAM BOYS URDU H,,,,,,,,,
87,27230200615,ANJAMAN ISLAM KURLA BOYS H.S.,WARD 168,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Boys only,895,0,895,23,0,
88,27230200620,ANJUMAN ISLAM ALLANA GIRLS H.S.,WARD 168,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Girls only,0,1001,1001,0,21,
89,27230200617,ANJUMAN-E-ISLAM ALLANA ENG. H.S.,WARD 168,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,264,246,510,0,7,
90,27230200614,PRABODHAN KURLA MADY. SHALA,WARD 168,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,102,93,195,6,2,
91,27230200616,"ST. JOSEPH HIGH SCHOOL, KURLA(W)",WARD 168,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,525,302,827,4,13,
92,27230201407,ANJUMAN KHAIRUL ISLAM URDU HGS,WARD 176,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Boys only,385,0,385,11,3,
93,27230201411,CAMBRIDGE ENGLISH NIGHT HGS,WARD 176,No Response,Pvt. Unaided,Urban,Co-Educational,15,0,15,2,0,
94,27230201412,KURLA NIGHT HIGH-SCHOOL,WARD 176,No Response,Pvt. Aided,Urban,Co-Educational,21,2,23,2,0,
95,27230201503,SHREE RAMNARAYAN MISHRA HINDI,WARD 177,No Response,Pvt. Aided,Urban,Co-Educational,20,3,23,2,0,
"15, February 2013 05:11 PM",,,,©NUEPA New Delhi,,,,,,Page 3 of 45,,,
Class
rooms
6
4
1
12
34
9
18
8
8
11
12
10
13
6
23
1
6
16
6
13
6
24
27
15
7
4
12
10
3
5
3
,,,,S c h o o l,D i r e c t o r y,,,,,,,,
State Name :,MAHARASHTRA,,District Code & Name :,2723,MUMBAI II,,Total Schools in this district :,,1393,Year,:,2011-12,
,School,,,School,School,,Location &,,Enrolment,,,Teachers,
,Code,School Name,Village Name,Category,Management,Type of School,,,,,,,
,,,,,,,,Boys,Girls,Total,Male,Female,Total
,,Block Code & Name:,272302,NORTH,Total Schools in this block :,436,,,,,,,
,,Cluster Code & Name:,2723020004,ANJUMAN ISLAM BOYS URDU H,,,,,,,,,
96,27230202611,LITTLE ENGILS ENGLISH SCHOOL,WARD 189,No Response,Pvt. Unaided,Urban,Co-Educational,8,3,11,1,1,
97,27230203703,"AMARKOR VIDYALAYA, BHANDUP",WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,437,381,818,6,11,
98,27230204605,A.K.I. HIGH-SCHOOL BOYES,WARD 199,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Boys only,204,0,204,6,3,
,,Cluster Code & Name:,2723020025,ATOMIC ENERGY CENTRAL SCH,,,,,,,,,
99,27230202323,AUTOMIC ENERGY SCHOOL NO. 1,WARD 186,Up. Primary with sec./H.sec,Others,Urban,Co-Educational,227,192,419,0,16,
100,27230202315,AUTOMIC ENERGY SCHOOL NO. 2,WARD 186,Up. Primary with sec./H.sec,Others,Urban,Co-Educational,231,217,448,1,16,
101,27230202316,AUTOMIC ENERGY SCHOOL NO. 3,WARD 186,Up. Primary with sec./H.sec,Others,Urban,Co-Educational,148,136,284,4,10,
102,27230202318,AUTOMIC ENERGY SCHOOL NO. 5,WARD 186,Up. Primary with sec./H.sec,Others,Urban,Co-Educational,233,184,417,4,10,
103,27230202324,AUTOMIC ENERGY SCHOOL NO. 6,WARD 186,Up. Primary with sec./H.sec,Others,Urban,Co-Educational,122,119,241,7,4,
104,27230202510,"CREESENT HGS, TROMBE",WARD 188,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,410,305,715,0,17,
,,Cluster Code & Name:,2723020023,DNYANSANPADA HIGH-SCHOOL,,,,,,,,,
105,27230203205,ANJUMAN FALAUL ISLAM GIRLS,WARD 185,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Girls only,0,235,235,4,3,
106,27230203204,ANJUMAN FALAUL ISLAM URDU,WARD 185,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,161,19,180,1,4,
107,27230203207,ANJUMAN T ISLAM URDU,WARD 185,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,89,90,179,4,2,
108,27230203206,KASMIYA URDU HGS,WARD 185,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,114,114,228,3,3,
109,27230203209,MAHATMA PHULE VIDYALAYA,WARD 185,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,79,90,169,4,2,
110,27230203203,UNIC HINDI HGS,WARD 185,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,184,84,268,5,2,
111,27230203302,JAPHARI ENGLISH HGS,WARD 186,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,310,206,516,4,11,
112,27230203303,JOHAR URDU HGS,WARD 186,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,71,58,129,3,3,
113,27230203304,NURUL ISLAM HGS,WARD 186,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,512,684,1196,10,18,
114,27230203301,ROSE ENGLISH HGS,WARD 186,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,257,134,391,4,7,
115,27230203405,RAMAI HGS,WARD 187,No Response,Pvt. Aided,Urban,Co-Educational,35,28,63,1,1,
116,27230202705,AADARSH BHUTPURVA SAINIK HGS E,WARD 190,No Response,Pvt. Unaided,Urban,Co-Educational,28,8,36,2,0,
117,27230202704,AADARSH BHUTPURVA SAINIK HGS H,WARD 190,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,144,81,225,4,1,
118,27230202706,"AVAMI GIRLS HIGHSCHOOL,GOVANDI",WARD 190,No Response,Pvt. Aided,Urban,Girls only,0,160,160,0,5,
119,27230202707,PRERANA NIGHT HIGH-SCHOOL,WARD 190,No Response,Pvt. Aided,Urban,Co-Educational,58,10,68,3,0,
120,27230202801,ANJUMAN BEHARUL HGS. GOVANDI,WARD 191,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,219,239,458,6,6,
121,27230202803,ANJUMAN RAPHIK ISALAM URDU HGS,WARD 191,No Response,Pvt. Aided,Urban,Co-Educational,67,48,115,0,2,
122,27230202802,SANT DYANESHWAR HGS. GOVANDI,WARD 191,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,84,74,158,3,2,
123,27230203904,RAMLINGAM EDU. FOUNDATION & JR. COL,WARD 192,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,129,76,205,3,3,
124,27230203004,AAYESHA ENGLISH HIGHSCHOOL,WARD 193,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,483,208,691,9,5,
125,27230203003,AHILYABAI HOLKAR PRASHALA,WARD 193,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,56,48,104,2,3,
126,27230203007,ANJUMAN ENAITUL ISALAM URDUHGS,WARD 193,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,93,103,196,2,4,
"15, February 2013 05:11 PM",,,,©NUEPA New Delhi,,,,,,Page 4 of 45,,,
Class
rooms
3
12
9
35
36
29
44
21
19
8
6
6
6
6
8
18
7
36
12
3
3
4
8
3
11
7
4
15
10
3
6
,,,,S c h o o l,D i r e c t o r y,,,,,,,,
State Name :,MAHARASHTRA,,District Code & Name :,2723,MUMBAI II,,Total Schools in this district :,,1393,Year,:,2011-12,
,School,,,School,School,,Location &,,Enrolment,,,Teachers,
,Code,School Name,Village Name,Category,Management,Type of School,,,,,,,
,,,,,,,,Boys,Girls,Total,Male,Female,Total
,,Block Code & Name:,272302,NORTH,Total Schools in this block :,436,,,,,,,
,,Cluster Code & Name:,2723020023,DNYANSANPADA HIGH-SCHOOL,,,,,,,,,
127,27230203001,DYANSAMPADA HGS. SHIVAJINAGAR,WARD 193,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,485,447,932,7,15,
128,27230203011,HANEST LIFE ENGLISH SCH,WARD 193,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,110,74,184,0,6,
129,27230203006,NEW STANDARD HIGH-SCHOOL,WARD 193,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,57,17,74,1,5,
130,27230203005,SHREE GEETA VIDYALAYA,WARD 193,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,264,127,391,2,4,
131,27230203015,SHRI. NARAYAN GURU MARATHI VIDY.,WARD 193,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,116,95,211,1,5,
132,27230203013,USMANIYA URDU HGS . GOVANDI,WARD 193,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,79,125,204,3,2,
133,27230203101,AL KOVSAR URDU HGS. GOVANDI,WARD 194,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,338,417,755,6,3,
134,27230203102,AL MEHANDI URDU HGS. GOVANDI,WARD 194,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,86,104,190,4,2,
135,27230203103,CITIZEN ENGLISH HGS. GOVANDI,WARD 194,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,77,29,106,4,2,
136,27230203109,SHIVAJINAGAR HGS. BAIGANWADI,WARD 194,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,67,69,136,3,2,
137,27230204208,INFRANT INDIA ENG SCHOOL,WARD 195,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,210,94,304,1,5,
138,27230204301,BHAIRAW VIDYALAYA KAMRAJ NAGAR,WARD 196,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,324,239,563,2,8,
139,27230204303,GURU NANAK HIGH SCHOOL,WARD 196,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,203,116,319,1,6,
140,27230204312,JAYMAX ENG HGS,WARD 196,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,220,122,342,1,6,
141,27230204304,NAIONAL HIGH SCHOOL,WARD 196,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,80,66,146,2,4,
142,27230204302,SAVITRIBAI PHULE HIGH SCHOOL,WARD 196,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,44,33,77,5,1,
,,Cluster Code & Name:,2723020002,GANDHI BALMANDIR KURLA W,,,,,,,,,
143,27230200307,KEMBRIJ ENG. HIGHSCHOOL KURLA,WARD 164,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Co-Educational,31,7,38,1,5,
144,27230200618,MAHILA MANDAL SANCH. KANYA VIDY.,WARD 168,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Girls only,0,473,473,0,16,
145,27230200619,"SRI. GADGE MAHARAJ VIDY., KURLA",WARD 168,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,246,132,378,5,8,
146,27230200708,"GANDHI BALMANDIR H.S., KURLA",WARD 169,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,338,324,662,8,5,
147,27230200702,HOLI KROS HIGH-SCHOOL,WARD 169,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,1249,811,2060,12,30,
148,27230200709,"KARTHIKA HIGH SCHOOL, KURLA",WARD 169,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,1421,721,2142,13,22,
149,27230200710,MAHARASHTRA URDU HIGHSCHOOL,WARD 169,No Response,Pvt. Aided,Urban,Co-Educational,14,43,57,0,2,
150,27230200711,SANT GYANESHWAR NIGHT H.S. KURLA,WARD 169,No Response,Pvt. Aided,Urban,Co-Educational,13,5,18,2,0,
